"2014-09-16 03:48:13",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-09-16 03:49:44","AIR:401000000","building-toon",401000050,"2000|18"
"2014-09-16 03:49:44","AIR:401000000","building-toon",401000056,"2000|14"
"2014-09-16 03:49:44","AIR:401000000","building-toon",401000063,"2000|16"
"2014-09-16 03:49:44","AIR:401000000","building-toon",401000069,"2000|21"
"2014-09-16 03:49:44","AIR:401000000","building-toon",401000075,"2000|13"
"2014-09-16 03:49:44","AIR:401000000","building-toon",401000104,"2100|1"
"2014-09-16 03:49:44","AIR:401000000","building-toon",401000110,"2100|2"
"2014-09-16 03:49:44","AIR:401000000","building-toon",401000115,"2100|3"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000121,"2100|4"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000127,"2100|6"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000132,"2100|7"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000138,"2100|10"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000144,"2100|11"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000149,"2100|16"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000155,"2100|18"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000161,"2100|17"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000167,"2100|21"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000173,"2100|24"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000179,"2100|25"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000185,"2100|26"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000191,"2100|29"
"2014-09-16 03:49:45","AIR:401000000","building-cog",401000197,"2100|32|s|3"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000199,"2100|33"
"2014-09-16 03:49:45","AIR:401000000","building-cog",401000205,"2100|38|m|1"
"2014-09-16 03:49:45","AIR:401000000","building-cog",401000207,"2100|57|c|1"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000209,"2100|39"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000215,"2100|43"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000221,"2100|44"
"2014-09-16 03:49:45","AIR:401000000","building-cog",401000227,"2100|49|c|1"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000229,"2100|60"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000235,"2100|52"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000240,"2100|53"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000245,"2100|55"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000251,"2100|54"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000257,"2100|56"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000263,"2100|59"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000269,"2100|61"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000275,"2100|67"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000281,"2100|63"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000286,"2100|62"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000292,"2100|64"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000298,"2100|66"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000304,"2100|65"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000310,"2100|69"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000316,"2100|70"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000331,"2200|1"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000336,"2200|4"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000341,"2200|5"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000347,"2200|8"
"2014-09-16 03:49:45","AIR:401000000","building-cog",401000353,"2200|43|m|3"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000355,"2200|44"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000360,"2200|11"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000366,"2200|12"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000372,"2200|13"
"2014-09-16 03:49:45","AIR:401000000","building-cog",401000378,"2200|14|l|2"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000380,"2200|16"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000386,"2200|48"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000391,"2200|17"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000397,"2200|20"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000403,"2200|39"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000409,"2200|25"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000414,"2200|27"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000420,"2200|28"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000426,"2200|30"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000432,"2200|29"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000438,"2200|31"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000443,"2200|32"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000449,"2200|33"
"2014-09-16 03:49:45","AIR:401000000","building-cog",401000455,"2200|34|l|2"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000457,"2200|35"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000463,"2200|47"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000468,"2200|41"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000473,"2200|40"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000488,"2300|1"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000494,"2300|2"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000500,"2300|3"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000505,"2300|4"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000511,"2300|39"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000517,"2300|41"
"2014-09-16 03:49:45","AIR:401000000","building-cog",401000522,"2300|37|s|3"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000524,"2300|9"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000530,"2300|14"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000535,"2300|36"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000540,"2300|5"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000545,"2300|34"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000551,"2300|29"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000557,"2300|30"
"2014-09-16 03:49:45","AIR:401000000","building-cog",401000563,"2300|18|s|2"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000565,"2300|31"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000571,"2300|21"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000576,"2300|22"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000582,"2300|33"
"2014-09-16 03:49:45","AIR:401000000","building-cog",401000587,"2300|24|c|1"
"2014-09-16 03:49:45","AIR:401000000","building-toon",401000589,"2300|23"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000643,"1000|8"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000669,"1100|26"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000675,"1100|2"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000681,"1100|4"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000687,"1100|6"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000693,"1100|8"
"2014-09-16 03:49:54","AIR:401000000","building-cog",401000699,"1100|20|c|1"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000701,"1100|9"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000707,"1100|27"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000713,"1100|12"
"2014-09-16 03:49:54","AIR:401000000","building-cog",401000719,"1100|13|c|2"
"2014-09-16 03:49:54","AIR:401000000","building-cog",401000721,"1100|14|c|1"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000723,"1100|15"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000729,"1100|16"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000735,"1100|17"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000741,"1100|19"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000747,"1100|21"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000753,"1100|22"
"2014-09-16 03:49:54","AIR:401000000","building-cog",401000759,"1100|28|c|3"
"2014-09-16 03:49:54","AIR:401000000","building-cog",401000761,"1100|24|c|3"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000772,"1200|25"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000778,"1200|3"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000784,"1200|6"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000790,"1200|5"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000796,"1200|7"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000802,"1200|26"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000808,"1200|9"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000814,"1200|10"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000820,"1200|11"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000826,"1200|12"
"2014-09-16 03:49:54","AIR:401000000","building-cog",401000832,"1200|14|m|3"
"2014-09-16 03:49:54","AIR:401000000","building-toon",401000834,"1200|13"
